station_id,stationame,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday-holiday_rides,monthtotal
40970,Cicero-Forest Park,3/1/21,543.8,420.3,328.5,15502
40010,Austin-Forest Park,3/1/21,434.5,298.3,262,12235
40180,Oak Park-Forest Park,3/1/21,247.2,172.3,123,6867
40980,Harlem-Forest Park,3/1/21,382.8,275.5,172.3,10595
40390,Forest Park,3/1/21,936.9,612.3,459.3,25834
41030,Polk,3/1/21,1198.9,415.8,261,30282
40830,18th,3/1/21,602.5,582.8,417.3,17858
40210,Damen-Cermak,3/1/21,556.6,411,315.8,15709
40740,Western-Cermak,3/1/21,498.1,384.3,278.8,14108
40440,California-Cermak,3/1/21,599.3,405.8,318.8,16681
41040,Kedzie-Cermak,3/1/21,422.5,347.8,261.3,12154
40780,Central Park,3/1/21,416,309.8,234.8,11745
40150,Pulaski-Cermak,3/1/21,449.9,330.3,282.5,12798
40600,Kostner,3/1/21,188.5,126.8,108.3,5275
40420,Cicero-Cermak,3/1/21,522.9,435.5,341.8,15135
40580,54th/Cermak,3/1/21,874.1,656,447.8,24519
40020,Harlem-Lake,3/1/21,1168.1,838.8,647.3,32811
41350,Oak Park-Lake,3/1/21,290.5,265,130.8,8264
40610,Ridgeland,3/1/21,236.7,168.3,140.3,6679
41260,Austin-Lake,3/1/21,572.7,429.3,292.5,16059
40280,Central-Lake,3/1/21,773.5,573.5,415.3,21745
40700,Laramie,3/1/21,406,298.5,235,11473
40480,Cicero-Lake,3/1/21,487.6,404.8,281.3,13958
40030,Pulaski-Lake,3/1/21,622.7,465.3,385,17723
41670,Conservatory,3/1/21,440.9,368.3,297.3,12803
41070,Kedzie-Lake,3/1/21,402.1,332.8,245.8,11563
41360,California-Lake,3/1/21,394,260.5,185,10844
40170,Ashland-Lake,3/1/21,780.6,592,349,21718
41510,Morgan-Lake,3/1/21,817.1,866.5,677.8,24971
41160,Clinton-Lake,3/1/21,806.2,461.5,350.5,21791
41690,Cermak-McCormick Place,3/1/21,435.5,365,229,12393
41120,35-Bronzeville-IIT,3/1/21,439.9,378.8,251.3,12638
40300,Indiana,3/1/21,216.1,160.5,114.5,6071
41270,43rd,3/1/21,307.3,205,154,8503
41080,47th-South Elevated,3/1/21,360.9,286.8,199,10244
40130,51st,3/1/21,327.8,277.5,195,9429
40510,Garfield-South Elevated,3/1/21,355.3,329,217.3,10357
41140,King Drive,3/1/21,176.9,136,121.8,5099
